time,J_out,P_out,TK_out,kg_out
0,0,0,0,0
10000,5744427.5081323,8.3626203567702,472.91347780921,6.7252407135405
20000,6288964.7676138,8.6782277896629,473.04725293943,7.3564555793258
31000,7411190.1578175,8.9379339412561,473.14885197593,8.6634546707633
43100,8549068.1862564,9.1275257162636,473.22651622865,9.988612233358
56410,9715302.0014768,9.2625527069078,473.28650154229,11.346915305789
71051,10923031.544598,9.3554904650949,473.33375222051,12.753747179891
87156.1,12183589.954123,9.4154951241008,473.37097640007,14.222398104631
104871.71,13522166.082775,9.4543178514988,473.40114619314,15.782191574638
124358.881,14955292.825324,9.4779191445688,473.42588056702,17.452395218877
145794.7691,16501310.287859,9.4911457307135,473.44674056223,19.254339464873
169374.24601,18187432.706802,9.4995892537162,473.46568514393,21.219592182497
195311.670611,20024521.296406,9.5032935829402,473.48336213801,23.360767552736
223842.8376721,22040297.353752,9.5055976052243,473.50109204903,25.709991596949
255227.12143931,24246955.33349,9.5056670353672,473.51899647856,28.281426559706
286611.40520652,24249025.376298,9.5056490672488,473.5362107147,28.2813137764
321134.11735045,26671655.621076,9.5048476691328,473.55414342562,31.103911866746
359109.10070878,29341361.069153,9.5047818375592,473.57364257704,34.213803062838
400881.58240293,32282454.263578,9.5052660648801,473.59441280349,37.639228844502
446831.3122665,35512130.408761,9.5049501122599,473.61571979907,41.400248141442
492781.04213008,35512473.396731,9.5045233842465,473.63587645128,41.396326534054
538730.77199365,35512740.656153,9.5041170230642,473.65475204771,41.392592096743
589275.47484358,39060572.184522,9.5032849907388,473.67345274784,45.523440341088
644874.6479785,42966623.989694,9.502859703454,473.69167304555,50.071055250921
675454.19320271,23646369.72337,9.5054266375998,473.70165647793,27.554779523766
706033.73842692,23653625.742077,9.5065954490792,473.71068510489,27.561927868465
739671.23817354,26021362.973733,9.5067997030008,473.71952150602,30.319494773558
776672.48789483,28623658.527354,9.506627951466,473.72795748067,33.350173246629
817373.86258825,31484315.308654,9.5061962248704,473.73600360027,36.681676198105
862145.37475102,34630343.296762,9.5056939416217,473.7441622022,40.345346221799
911394.03813005,38092138.87244,9.5053767048738,473.75149799382,44.376756146818
960642.70150909,38096322.263189,9.5057469264544,473.75679294619,44.380402730418
1014816.231226,41908065.090838,9.5059314782134,473.75858870703,48.8204425675
1044611.6725704,23059886.33642,9.507967527958,473.75868960216,26.863376412272
1074407.1139147,23065163.880152,9.5090405293995,473.75682082952,26.869770522575
1107182.0993934,25373434.772337,9.5094595995982,473.75219455862,29.559494578768
1143234.58342,27909815.94778,9.509542120159,473.74201111195,32.516039050885
1182892.3158493,30696261.757977,9.509268200971,473.72526307179,35.765470353201
1226515.8215215,33757003.066939,9.508806037102,473.69433522564,39.337985146888
1270139.3271938,33747172.257304,9.5084951415277,473.65151680579,39.335272675918
1318125.1834332,37104234.925229,9.5082316678848,473.57114017009,43.26627134184
1342118.1115529,18552978.729054,9.5094708611893,473.5270188297,21.639082046096
1368510.3324846,20403905.329474,9.5099088291876,473.4670136141,23.80530204034
1397541.7755095,22435333.569859,9.5100106089325,473.38575704829,26.186423206947
1429476.3628368,24664960.72022,9.5100540017903,473.27541647621,28.805342674244
1464604.4088969,27110355.308698,9.5101082720507,473.12342685628,31.686258223309
1503245.259563,29790412.58748,9.5102742366545,472.91655698259,34.856166648334
1545750.1952957,32723185.951678,9.5106045286797,472.63115433805,38.344591121429
1592505.6246017,35926988.141388,9.5113307135378,472.23489486944,42.185840850531
1643936.5968382,39418337.805536,9.5126983143118,471.68540692264,46.418492343072
1700510.6662984,43210520.347622,9.5149972756241,470.92825615972,51.086353896772
1762742.1427047,47312121.277396,9.5185827106482,469.89727630214,56.239614669471
1831196.7667515,51725848.177254,9.5239017725697,468.51695593309,61.936399013242
1906496.8532031,56447470.118907,9.5316320594353,466.70075157421,68.246457168422
1989326.9482998,61459855.674585,9.5424168156288,464.35192038681,75.249763361484
2080440.0529062,66744915.905302,9.5563778442916,461.42853038101,83.029146230625
2180664.4679732,72278004.775253,9.573656638961,457.90103852254,91.678412271449
2290911.3245469,78032751.788065,9.5943809386249,453.76586850941,101.30321127712
2412182.866778,83998660.566381,9.6180671068693,449.09701878692,112.00802403534
2545581.5632322,90197035.552263,9.6439623843967,444.04330551642,123.89970569217
2692320.1293318,96671137.424283,9.6710280237812,438.77736432787,137.08399088416
2853732.5520414,103480803.18875,9.6981661838873,433.46407334194,151.6684772067
3015144.974751,100877856.19152,9.7230583508368,428.65512897046,152.47205820146
3103921.8072413,54749018.698415,9.7369352842863,426.16838603722,84.106022050068
3192698.6397315,54046179.396898,9.7490532658464,423.83404016104,84.321181253883
3290353.1554708,58654358.664215,9.7611653120327,421.45007757082,92.989858580258
3397773.1227841,63622390.412723,9.7735433751561,419.01852394244,102.55477466551
3515935.0868286,68992105.256289,9.786191982308,416.57788294665,113.10916898476
3645913.2472776,74805385.521101,9.7989128688337,414.15508997864,124.75077336921
3788889.2237715,81102773.332991,9.8114773862844,411.76597150406,137.58513553647
3946162.7979148,87919865.921536,9.8238676134631,409.40441656992,151.73338015269
4119163.7294724,95300473.90733,9.8362264464661,407.06873776553,167.33433609245
4292164.6610301,94018628.03045,9.8475615415941,404.95271935264,167.72653249574
4482465.6857434,102013032.86608,9.8588307357634,402.84968412533,184.92809358494
4691796.8129282,110671142.6767,9.8700440963334,400.76147364485,203.89036402496
4796462.3765205,54974449.506633,9.8757737126488,399.77428577671,102.06512071664
4848795.1583167,27399394.70714,9.8785638469397,399.29478139591,51.061763456127
4901127.9401129,27312769.353476,9.881099794743,398.82796813147,51.088306096734
4958694.0000887,29941134.383441,9.8837312699936,398.32706472049,56.227433438828
5022016.6660621,32813069.935151,9.8865268717257,397.78810022889,61.885581773647
5091671.5986328,35949747.330013,9.88953713002,397.20858907977,68.116075818712
5168292.0244606,39374825.505889,9.8927601057662,396.59009229311,74.977072555405
5252574.4928712,43114885.874885,9.8961970314563,395.93653352377,82.532714327126
5345285.2081228,47198767.447026,9.8998306253259,395.25148449016,90.853360377156
5447266.9948996,51657304.333236,9.9036389212552,394.53686752187,100.01637177956
5559446.960354,56523438.861477,9.9076086407825,393.79305514683,110.1070735574
5682844.9223539,61832705.979876,9.9117080974091,393.02062797982,121.21895383175
5818582.6805539,67624105.555885,9.9159397697291,392.22030931149,133.45572875776
5893238.4475638,37079498.682422,9.9183018219078,391.79519821836,73.435918980189
5967894.2145737,36968745.010389,9.9205002472797,391.38411527476,73.468744006661
6050015.5582847,40536089.349295,9.9227973438408,390.94835835393,80.853346538572
6140349.0363667,44439188.923529,9.9252172571767,390.48857704581,88.982401030087
6239715.862257,48709149.398012,9.9277567465408,390.00594931346,97.931109332595
6349019.3707362,53379986.88684,9.9304024411625,389.50198316355,107.78205700676
6469253.2300634,58489051.972575,9.9331479122389,388.97837611857,118.62628242407
6535381.8526934,32102414.240752,9.9346774195595,388.69990193481,65.264684175722
6601510.4753233,32037594.97028,9.9361105783158,388.43020250049,65.283638738634
6674251.9602163,35165319.879854,9.9376097385978,388.1434325288,71.833812841499
6754267.5935985,38593046.703582,9.9391909021455,387.83935553258,79.042497686199
6842284.790319,42349080.508133,9.9408576864394,387.51818287429,86.976088591036
6939103.7067115,46464436.705553,9.9426095634603,387.18042750655,95.707620417103
7045604.5147433,50973060.079604,9.9444418887879,386.82676141653,105.31741128441
7162755.4035782,55912159.797909,9.9463519089002,386.45797666543,115.89390452362
7227188.3924374,30705523.828591,9.9474163977881,386.26122538654,63.755365128121
7259404.8868671,15341407.223639,9.9479488127175,386.16425958766,31.881113072582
7291621.3812967,15330141.658794,9.9484561561238,386.06855758949,31.884382037786
7327059.5251692,16849657.458417,9.9489945378798,385.96466164346,35.076636091591
7366041.4834291,18518549.340316,9.9495740614202,385.85228702737,38.588817893242
7408921.6375149,20351344.508645,9.9501982127241,385.73118836595,42.453052423383
7456089.8070093,22363908.858396,9.9508688259399,385.60088132806,46.704683985287
7507974.7934531,24573567.780113,9.9515884791016,385.46066523643,51.382620222723
7565048.2785413,26999258.146608,9.9523588377359,385.30981179987,56.529675655401
7627829.1121383,29661739.216541,9.9531835573904,385.14777023779,62.19299853842
7696888.0290951,32583767.971697,9.9540654586108,384.97419671399,68.424479020891
7772852.8377475,35790312.382209,9.9550050538038,384.78902339273,75.28120215679
7856414.1272652,39308755.951764,9.9560017124089,384.592356481,82.825978788119
7948331.5457346,43169098.758106,9.9570566792124,384.38429171727,91.12797063196
8049440.7060509,47404192.951428,9.9581695074111,384.1649602151,100.2632711201
8160660.7823989,52050140.997891,9.9593393523646,383.93478004123,110.31562028112
8283002.8663817,57146436.539134,9.9605632305394,383.69407106198,121.37712867053
8417579.1587628,62736337.763815,9.9618385272162,383.44313569186,133.54916647727
8565613.080382,68867311.53794,9.9631614387359,383.18243790808,146.94325028104
8728450.3941631,75591576.359389,9.9645247237776,382.91281490794,161.68197404396
8907571.4393223,82966536.582376,9.9659148551461,382.63539656531,177.89997180509
9104604.5889975,91055438.768608,9.96732929503,382.35133804398,195.74570729467
9321341.0536401,99928276.56763,9.9687684384004,382.06225662697,215.38266099337
9559751.164747,109662079.35263,9.9702301763574,381.76975782378,236.99062571446
9822002.2869646,120341439.8924,9.9717092159967,381.47526873151,260.76726424695
10110478.521404,132058597.48519,9.9731930320812,381.17961322088,286.92959980698
10427802.379287,144915450.16877,9.9746735170338,380.88393111288,315.71651842701
10776858.622959,159020107.03634,9.9761579588178,380.5862598858,347.39180100433
11160820.490998,174494858.41214,9.9776286036197,380.2879813878,382.24391540983
11583178.54584,191478013.42241,9.9790877261695,379.99215397689,420.5915613832
12047772.406167,210121315.49789,9.9805300933665,379.70117565557,462.78474051033
12558825.652527,230590712.11576,9.9819440697859,379.41665457108,509.20773800925
13120984.223523,253067770.5455,9.9833082127979,379.13971330317,560.28188474743
13739358.651618,277753147.5566,9.9846168608813,378.87135952332,616.47192012419
14419570.522522,304869165.95224,9.9858742029878,378.61273623152,678.29016394194
15167803.580518,334659580.87346,9.9870727649995,378.36464941589,746.29854107997
15990859.944312,367392959.27286,9.9882169284122,378.12756506657,821.11673738358
16896221.944486,403364574.79036,9.9892999479032,377.90194003717,903.42451606046
17892120.144678,442899836.10328,9.9903212766533,377.68808014558,993.97039555931
18888018.344869,442202603.88767,9.9912088127184,377.5020577808,994.14717467329
19883916.545061,441590127.03082,9.9919823227571,377.33882557677,994.30124212436
20979404.565272,485100118.48738,9.9927153503886,377.18187785938,1093.8919709346
22184441.387503,532927535.40768,9.9934125581309,377.03193204109,1203.4492002285
22515826.513617,146506218.10407,9.9936193622187,376.99237354744,330.96223642257
22681519.076674,73241045.756544,9.9937140791826,376.97299645182,165.48425699059
22764365.358203,36617534.536592,9.993760483182,376.96340755872,82.742897375053
22847211.639731,36614562.690928,9.993804537886,376.95391629478,82.743627328735
22938342.549412,40272457.305222,9.9938517684544,376.94359192756,91.018850894542
23038586.550062,44295445.309107,9.9939029097988,376.93237599578,100.12176130659
23148854.950776,48719907.2581,9.9939583380567,376.92020608229,110.13515983432
23270150.191562,53585837.825994,9.9940183845531,376.90701557705,121.1501324886
23403574.956426,58937205.543804,9.9940834312606,376.8927362997,133.26688150579
23550342.197777,64822345.207325,9.994153736451,376.87730054592,146.59563335613
23711786.163263,71294392.452683,9.9942295821313,376.86064221535,161.25764565723
23889374.525297,78411759.568158,9.9943112777172,376.84269709208,177.38631186001
24084721.723535,86238657.304831,9.994399098943,376.82340311236,195.12837417209
24299603.641597,94845656.61306,9.9944933419272,376.8026857416,214.64526181194
24535973.751465,104310345.1585,9.9945931395892,376.78051549258,236.11450583
24795980.872319,114718035.06863,9.9946994525227,376.7568507094,259.73148483695
25081988.70526,126162482.21504,9.9948126416024,376.73164254082,285.71110791333
25396597.321494,138746818.41751,9.994932745922,376.7049092614,314.28977587541
25742666.799351,152584353.13531,9.9950598262094,376.6766209103,345.7275491847
26123343.224994,167799680.87225,9.9951938101859,376.64678081092,380.31050501142
26542087.293202,184529816.67814,9.995334732461,376.61542052078,418.35335758592
26772396.530716,101476765.48919,9.9954133610908,376.59860524571,230.09796845221
26829973.840095,25368289.739547,9.9954342628053,376.59442881645,57.524732805949
26887551.149473,25367385.947733,9.9954535062905,376.59027863677,57.524954403569
26950886.18979,27903034.875488,9.9954738803052,376.58574505927,63.277707921735
27020554.734138,30692029.059937,9.9954959838053,376.58079614733,69.605786697643
27090223.278486,30690729.999652,9.9955179633355,376.57588494829,69.606092954019
27166858.677269,33758243.851198,9.9955418642691,376.57052808417,76.567068580936
27251157.61593,37132198.840891,9.9955678632646,376.56469033969,84.224213776574
27343886.448457,40843179.041513,9.9955961151419,376.55833352465,92.647159106951
27445888.164237,44924816.404013,9.9956268448667,376.55141734496,101.91250191458
27558090.051595,49414093.56485,9.9956602539628,376.54390077887,112.10450181876
27681512.127689,54351677.214416,9.9956965379829,376.53574240946,123.31584765046
27817276.411392,59782283.579579,9.9957358843777,376.52689926856,135.64850078252
27966617.123465,65755079.839278,9.995778494738,376.51732525694,149.21462355309
28130891.906746,72324125.359231,9.9958245890107,376.50697063036,164.13760033373
28311594.168355,79548858.169165,9.995874400318,376.4957841225,180.55316057028
28510366.656125,87494631.804914,9.9959281639565,376.48371717735,198.61061397374
28729016.392672,96233304.515534,9.9959860900087,376.47072599043,218.47420847433
28969531.102873,105843892.30935,9.9960484300008,376.45677618505,240.32462805878
29234097.284095,116413285.47886,9.9961154287114,376.44184580406,264.36063598326
29525120.083438,128037003.99926,9.9961869659018,376.42590689974,290.80086337227
29845245.162716,140820078.81087,9.9962631289565,376.40893627565,319.88582605028
30000000,68070510.353073,9.9963011329665,376.40086220958,154.64035377037
